,title,isbn,booktype,author,rating,ratingCount,reviewCount,year,genres
98,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",9780525467564,books.book,https://www.goodreads.com/author/show/81466.A_A_Milne,4.34,241587,4020,1926,classics|childrens|fiction
99,A Prayer for Owen Meany,9780552135399,books.book,https://www.goodreads.com/author/show/3075.John_Irving,4.23,271242,12879,1989,fiction|classics|literature|contemporary
100,"Interview with the Vampire (The Vampire Chronicles, #1)",9780345476876,books.book,https://www.goodreads.com/author/show/7577.Anne_Rice,3.99,443625,9223,1976,horror|fantasy|fiction|paranormal|vampires|fantasy|paranormal
101,"Moby-Dick, or, the Whale",9780142437247,books.book,https://www.goodreads.com/author/show/1624.Herman_Melville,3.49,445374,13620,1851,classics|fiction|literature|adventure
102,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",9780439655484,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.56,2372866,46973,1999,fantasy|young-adult|fiction
103,The Red Tent,9780312353766,books.book,https://www.goodreads.com/author/show/626222.Anita_Diamant,4.17,484623,18534,1997,historical|historical-fiction|fiction|historical|religion|book-club
104,The Secret Life of Bees,9780142001745,books.book,https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd,4.04,1041220,28857,2001,fiction|historical|historical-fiction|young-adult|adult-fiction
105,"Clockwork Angel (The Infernal Devices, #1)",9781416975861,books.book,https://www.goodreads.com/author/show/150038.Cassandra_Clare,4.33,593533,28039,2010,fantasy|young-adult|fantasy|paranormal|science-fiction|steampunk|romance
106,Middlesex,9780312422158,books.book,https://www.goodreads.com/author/show/1467.Jeffrey_Eugenides,4.00,552753,22383,2002,fiction|historical|historical-fiction|contemporary
107,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",null,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.55,2221230,39565,2000,fantasy|young-adult|fiction
108,And Then There Were None,9780312330873,books.book,https://www.goodreads.com/author/show/123715.Agatha_Christie,4.25,650665,25682,1939,mystery|classics|fiction|mystery|crime|thriller
109,The Stranger,null,books.book,https://www.goodreads.com/author/show/957894.Albert_Camus,3.97,600080,19331,1942,classics|fiction|philosophy|cultural|france|literature
110,The Adventures of Tom Sawyer,9780143039563,books.book,https://www.goodreads.com/author/show/1244.Mark_Twain,3.91,685826,8743,1875,classics|fiction|adventure|young-adult
111,Great Expectations,9780192833594,books.book,https://www.goodreads.com/author/show/239579.Charles_Dickens,3.77,589995,14415,1861,classics|fiction|literature|historical|historical-fiction
112,The Master and Margarita,9780679760801,books.book,https://www.goodreads.com/author/show/3873.Mikhail_Bulgakov,4.30,203728,9560,1967,fiction|classics|cultural|russia|fantasy|literature|russian-literature|magical-realism
113,"The Shining (The Shining, #1)",9780450040184,books.book,https://www.goodreads.com/author/show/3389.Stephen_King,4.21,976973,19316,1977,horror|fiction|thriller
114,Charlie and the Chocolate Factory,9780142403884,books.book,https://www.goodreads.com/author/show/4273.Roald_Dahl,4.12,579679,10466,1964,childrens|young-adult|classics
115,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",9780439785969,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.56,2118467,34275,2005,fantasy|young-adult|fiction
116,"Eragon (The Inheritance Cycle, #1)",9780375826696,books.book,https://www.goodreads.com/author/show/8349.Christopher_Paolini,3.89,1298547,20601,2002,fantasy|young-adult|fiction|fantasy|dragons
117,On the Road,9780140042597,books.book,https://www.goodreads.com/author/show/1742.Jack_Kerouac,3.63,313901,13693,1955,classics|fiction|travel|literature|novels|literature|american|adventure|literature|20th-century|unfinished|classics|modern-classics
118,"The Name of the Wind (The Kingkiller Chronicle, #1)",9780756404079,books.book,https://www.goodreads.com/author/show/108424.Patrick_Rothfuss,4.54,606314,36782,2007,fantasy|fiction|fantasy|epic-fantasy
119,The Very Hungry Caterpillar,9780241003008,books.book,https://www.goodreads.com/author/show/3362.Eric_Carle,4.29,352534,7127,1969,childrens|picture-books|childrens|fiction|classics|animals|food-and-drink|food|number|counting|childrens|storytime|kids|science|mathematics
120,Flowers for Algernon,9780156030304,books.book,https://www.goodreads.com/author/show/11072.Daniel_Keyes,4.11,421448,15231,1966,fiction|classics|science-fiction|young-adult
121,The Curious Incident of the Dog in the Night-Time,9781400032716,books.book,https://www.goodreads.com/author/show/1050.Mark_Haddon,3.87,1068062,41000,2003,fiction|mystery|young-adult|contemporary
122,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",9780143034902,books.book,https://www.goodreads.com/author/show/815.Carlos_Ruiz_Zaf_n,4.26,392401,30651,2001,fiction|historical|historical-fiction|mystery
123,Tuesdays with Morrie,9780751529814,books.book,https://www.goodreads.com/author/show/2331.Mitch_Albom,4.09,694796,22917,1997,non-fiction|autobiography|memoir|biography
124,Looking for Alaska,9780142402511,books.book,https://www.goodreads.com/author/show/1406384.John_Green,4.05,990261,52499,2005,young-adult|fiction|contemporary|romance
125,The Metamorphosis,null,books.book,https://www.goodreads.com/author/show/5223.Franz_Kafka,3.80,531785,14082,1915,classics|fiction|fantasy|literature|short-stories|philosophy
126,The Unbearable Lightness of Being,9780571224388,books.book,https://www.goodreads.com/author/show/6343.Milan_Kundera,4.09,295088,13225,1984,fiction|classics|philosophy|literature|novels
127,The Name of the Rose,9780156001311,books.book,https://www.goodreads.com/author/show/1730.Umberto_Eco,4.12,266255,7640,1980,fiction|historical|historical-fiction|mystery|classics|historical|literature
128,The Scarlet Letter,9780142437261,books.book,https://www.goodreads.com/author/show/7799.Nathaniel_Hawthorne,3.39,641607,13431,1850,classics|fiction|historical|historical-fiction|academic|school
129,"Hush, Hush (Hush, Hush, #1)",9781416989417,books.book,https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick,3.98,521338,23657,2009,young-adult|fantasy|romance|fantasy|paranormal|paranormal|angels
130,The Five People You Meet in Heaven,9781401308582,books.book,https://www.goodreads.com/author/show/2331.Mitch_Albom,3.92,530276,19053,2003,fiction|inspirational|contemporary|fantasy
131,The Godfather,null,books.book,https://www.goodreads.com/author/show/12605.Mario_Puzo,4.37,299462,7393,1969,fiction|classics|mystery|crime|thriller|historical|historical-fiction|mystery
132,In Cold Blood,9780679745587,books.book,https://www.goodreads.com/author/show/431149.Truman_Capote,4.07,470011,14597,1965,non-fiction|classics|crime|true-crime|mystery|crime|mystery
133,Fight Club,9780393327342,books.book,https://www.goodreads.com/author/show/2546.Chuck_Palahniuk,4.19,447349,13015,1996,fiction|contemporary|classics|thriller|novels
134,Anna Karenina,null,books.book,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,4.04,579704,21211,1877,classics|fiction|cultural|russia|romance
135,Lonesome Dove,9780671683900,books.book,https://www.goodreads.com/author/show/1055.Larry_McMurtry,4.49,133594,6543,1985,fiction|historical|historical-fiction|westerns|classics|historical
136,The Cat in the Hat,9780394800011,books.book,https://www.goodreads.com/author/show/61105.Dr_Seuss,4.16,366814,5223,1957,childrens|childrens|picture-books|classics|fiction
137,"Holes (Holes, #1)",9780439244190,books.book,https://www.goodreads.com/author/show/6569.Louis_Sachar,3.95,870568,18600,1998,young-adult|fiction|childrens|childrens|middle-grade
138,"Dune (Dune Chronicles, #1)",null,books.book,https://www.goodreads.com/author/show/58.Frank_Herbert,4.22,625929,17004,1965,science-fiction|fiction|fantasy|classics
139,"The Little House Collection (Little House, #1-9)",9780060529963,books.book,https://www.goodreads.com/author/show/5300.Laura_Ingalls_Wilder,4.34,135908,2118,1943,classics|childrens|historical|historical-fiction|fiction|young-adult
140,Watchmen (Watchmen #1-12),9780930289232,books.book,https://www.goodreads.com/author/show/3961.Alan_Moore,4.36,452739,12182,1987,sequential-art|graphic-novels|sequential-art|comics|fiction|science-fiction|fantasy
141,"American Gods (American Gods, #1)",9780747263746,books.book,https://www.goodreads.com/author/show/1221698.Neil_Gaiman,4.11,670104,35123,2001,fantasy|fiction|fantasy|urban-fantasy|fantasy|mythology
142,The Divine Comedy,9780679433132,books.book,https://www.goodreads.com/author/show/5031312.Dante_Alighieri,4.07,101970,3341,1320,classics|poetry|fiction|literature
143,The Count of Monte Cristo,9780140449266,books.book,https://www.goodreads.com/author/show/4785.Alexandre_Dumas,4.24,683228,18788,1844,classics|fiction|historical|historical-fiction|adventure
144,Perfume,9780140120837,books.book,https://www.goodreads.com/author/show/39402.Patrick_S_skind,4.02,277220,12481,1985,fiction|historical|historical-fiction|classics|horror|mystery|thriller
145,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",null,books.book,https://www.goodreads.com/author/show/1069006.C_S_Lewis,4.21,1905733,18826,1950,fantasy|classics|fiction|young-adult|childrens
146,Peter Pan,9780805072457,books.book,https://www.goodreads.com/author/show/5255014.J_M_Barrie,4.08,235938,9383,1904,classics|fantasy|fiction|childrens
147,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",9780439064866,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.41,2327331,44745,1998,fantasy|young-adult|fiction
148,It,9780450411434,books.book,https://www.goodreads.com/author/show/3389.Stephen_King,4.23,672682,20438,1986,horror|fiction|thriller
149,All Quiet on the Western Front,9780449213940,books.book,https://www.goodreads.com/author/show/4116.Erich_Maria_Remarque,3.96,325403,9018,1929,classics|fiction|historical|historical-fiction|war|historical
150,The Compleat Works of Wllm Shkspr,9781557831576,books.book,https://www.goodreads.com/author/show/4390174.Reduced_Shakespeare_Company,4.44,8316,129,1994,plays|classics|humor|fiction|drama|plays|theatre
151,"Shadow Kiss (Vampire Academy, #3)",9781595141972,books.book,https://www.goodreads.com/author/show/137902.Richelle_Mead,4.36,309180,10797,2008,young-adult|paranormal|vampires|fantasy|fantasy|paranormal|romance
